report_date,keyword,rubicon_paid_impressions,rubicon_revenue,dfp_impressions,value_cpm
2016-02-16,ar_fnb1_728x90_1,12858,14.57,13004.0,0.98597353
2016-02-17,ar_fnb1_728x90_1,12462,13.96,15620.0,0.78647888
2016-02-16,ar_fnb1_hpu_1,7980,8.24,8070.0,0.89853777
2016-02-17,ar_fnb1_hpu_1,7686,7.68,9634.0,0.70151545
2016-02-16,ar_hwy2,66,0.02,67.0,0.26268656
2016-02-17,ar_hwy2,91,0.03,114.0,0.23157894
2016-02-17,ar_jam17,9,0.05,11.0,4.00000006
2016-02-16,ar_jam17_300x250_1,39,0.01,39.0,0.22564102
2016-02-17,ar_jam17_300x250_1,83,0.01,104.0,0.08461538
2016-02-16,ar_jam17_728x90_1,49,0.01,50.0,0.176
2016-02-17,ar_jam17_728x90_1,99,0.02,124.0,0.14193548
2016-02-16,ar_jam21_1,12,0.0,12.0,0.0
2016-02-17,ar_jam21_1,23,0.0,29.0,0.0
2016-02-16,ar_lau100,117,0.01,118.0,0.07457627
2016-02-17,ar_lau100,141,0.01,177.0,0.04971751
2016-02-16,ar_lau1_300x250_1,53,0.01,54.0,0.16296296
2016-02-17,ar_lau1_300x250_1,72,0.01,90.0,0.09777778
2016-02-16,ar_lau1_728x90_1,61,0.01,62.0,0.14193548
2016-02-17,ar_lau1_728x90_1,61,0.01,76.0,0.11578947
2016-02-16,ar_lau1_728x90_2,57,0.01,58.0,0.15172413
2016-02-17,ar_lau1_728x90_2,63,0.0,79.0,0.0
2016-02-16,ar_lau1_728x90_3,57,0.01,58.0,0.15172413
2016-02-17,ar_lau1_728x90_3,63,0.0,79.0,0.0
2016-02-16,ar_mar1_300x250_1,86,0.01,87.0,0.10114942
2016-02-17,ar_mar1_300x250_1,87,0.01,109.0,0.08073394
2016-02-16,ar_mar1_728x90_1,93,0.01,94.0,0.09361702
2016-02-17,ar_mar1_728x90_1,84,0.0,105.0,0.0
2016-02-16,ar_mar1_728x90_2,103,0.01,104.0,0.08461538
2016-02-17,ar_mar1_728x90_2,106,0.01,133.0,0.06616541
2016-02-16,ar_mar2_300x250_1,47,0.01,48.0,0.18333333
2016-02-17,ar_mar2_300x250_1,37,0.02,46.0,0.38260869
2016-02-16,ar_mar2_728x90_1,60,0.01,61.0,0.14426229
2016-02-17,ar_mar2_728x90_1,38,0.01,48.0,0.18333333
2016-02-16,ar_mar2_728x90_2,37,0.01,37.0,0.23783783
2016-02-17,ar_mar2_728x90_2,24,0.0,30.0,0.0
2016-02-16,ar_mh100,389,0.05,393.0,0.11195929
2016-02-17,ar_mh100,403,0.08,505.0,0.13940594
2016-02-16,ar_mh6_300x250_1,44,0.01,44.0,0.2
2016-02-17,ar_mh6_300x250_1,114,0.02,143.0,0.12307692
2016-02-16,ar_mh6_728x90_1,53,0.01,54.0,0.16296296
2016-02-17,ar_mh6_728x90_1,90,0.02,113.0,0.15575221
2016-02-16,ar_mh6_728x90_2,35,0.0,35.0,0.0
2016-02-17,ar_mh6_728x90_2,52,0.01,65.0,0.13538461
2016-02-16,ar_mor1_300x250_1,43,0.0,43.0,0.0
2016-02-17,ar_mor1_300x250_1,60,0.01,75.0,0.11733333
